#{"t_start": 1636681895.0632436, "env_id": null}
r,l,t
0,48,4.554657
0,48,4.606518
0,48,4.658415
0,48,4.711237
0,48,4.762102
0,48,5.626838
0,48,5.678699
0,48,5.729577
0,48,5.784417
0,48,5.838272
0,48,6.696976
0,48,6.747839
0,48,6.798713
0,48,6.849566
0,48,6.908409
0,48,7.696303
0,48,7.748163
0,48,7.801021
0,48,7.852883
0,48,7.90674
0,48,8.928007
0,48,8.97887
0,48,9.029768
0,48,9.081596
0,48,9.133458
0,48,9.995386
0,48,10.061178
0,48,10.11585
0,48,10.169657
0,48,10.229497
0,48,11.22284
0,48,11.273704
0,48,11.325566
0,48,11.379422
0,48,11.437267
0,48,12.423628
0,48,12.485464
0,48,12.564298
0,48,12.61711
0,48,12.668971
0,48,13.962696
0,48,14.026488
0,48,14.080343
0,48,14.192043
0,48,14.319703
0,48,15.344959
0,48,15.407791
0,48,15.461647
0,48,15.511513
0,48,15.564372
0,48,16.385207
0,48,16.437037
0,48,16.486904
0,48,16.538766
0,48,16.590627
0,48,17.385501
0,48,17.437394
0,48,17.499206
0,48,17.55006
0,48,17.602919
0,48,18.641141
0,48,18.692004
0,48,18.746857
0,48,18.79872
0,48,18.850581
0,48,19.944653
0,48,19.995543
0,48,20.046381
0,48,20.097245
0,48,20.150105
0,48,20.972903
0,48,21.024764
0,48,21.076625
0,48,21.127489
0,48,21.178383
0,48,22.018106
0,48,22.06897
0,48,22.119833
0,48,22.170698
0,48,22.245526
0,48,23.171022
0,48,23.225875
0,48,23.280729
0,48,23.336615
0,48,23.392432
0,48,25.237833
0,48,25.358509
0,48,25.423337
0,48,25.488163
0,48,25.540024
0,48,26.443641
0,48,26.49447
0,48,26.545336
0,48,26.600223
0,48,26.650054
0,48,27.466869
0,48,27.527706
0,48,27.579568
0,48,27.631428
0,48,27.691268
0,48,28.59884
0,48,28.653694
0,48,28.705556
0,48,28.761406
0,48,28.814265
0,48,29.827554
0,48,29.878418
0,48,29.928284
0,48,29.979149
0,48,30.034001
0,48,31.043969
40,48,31.09985
0,48,31.152678
0,48,31.205537
0,48,31.256401
0,48,32.058255
0,48,32.108122
0,48,32.159983
-4,48,32.20985
0,48,32.260714
0,48,33.068552
0,48,33.120414
0,48,33.172312
0,48,33.223172
0,48,33.275999
0,48,34.191549
0,48,34.243409
0,48,34.295272
0,48,34.347133
